home_team,away_team,event_date,event_time,matchday,event_timestamp,home_team_id,away_team_id,is_planned_tf
FK Mladá Boleslav,FC Viktoria Plzeň,2025-03-02,15:30,24,2025-03-02 15:30:00,2,13,False
FC Baník Ostrava,FK Mladá Boleslav,2025-03-09,13:00,25,2025-03-09 13:00:00,5,2,True
FK Mladá Boleslav,Bohemians 1905,2025-03-15,13:30,26,2025-03-15 13:30:00,2,3,True
MFK Karviná,FK Mladá Boleslav,2025-03-30,15:30,27,2025-03-30 15:30:00,9,2,True
FK Mladá Boleslav,FK Dukla Praha,2025-04-06,15:30,28,2025-04-06 15:30:00,2,15,True
AC Sparta Praha,FK Mladá Boleslav,2025-04-12,00:00,29,2025-04-12 00:00:00,6,2,True
FK Mladá Boleslav,FK Jablonec,2025-04-19,00:00,30,2025-04-19 00:00:00,2,7,True
Bohemians 1905,FC Baník Ostrava,2024-07-20,17:00,1,2024-07-20 17:00:00,3,5,False
FK Dukla Praha,Bohemians 1905,2024-07-27,14:30,2,2024-07-27 14:30:00,15,3,False
1. FC Slovácko,Bohemians 1905,2024-08-03,14:30,3,2024-08-03 14:30:00,16,3,False
Bohemians 1905,AC Sparta Praha,2024-08-10,17:00,4,2024-08-10 17:00:00,3,6,False
MFK Karviná,Bohemians 1905,2024-08-17,17:00,5,2024-08-17 17:00:00,9,3,False
Bohemians 1905,FK Jablonec,2024-08-24,14:30,6,2024-08-24 14:30:00,3,7,False
SK Dynamo České Budějovice,Bohemians 1905,2024-08-31,14:30,7,2024-08-31 14:30:00,10,3,False
FC Slovan Liberec,Bohemians 1905,2024-09-22,18:30,9,2024-09-22 18:30:00,12,3,False
SK Sigma Olomouc,Bohemians 1905,2024-10-06,15:30,11,2024-10-06 15:30:00,14,3,False
FK Teplice,Bohemians 1905,2024-10-27,13:00,13,2024-10-27 13:00:00,11,3,False
Bohemians 1905,FK Pardubice,2024-11-03,15:30,14,2024-11-03 15:30:00,3,4,False
FC Viktoria Plzeň,Bohemians 1905,2024-11-10,15:30,15,2024-11-10 15:30:00,13,3,False
Bohemians 1905,FK Dukla Praha,2024-11-24,13:00,16,2024-11-24 13:00:00,3,15,False
Bohemians 1905,1. FC Slovácko,2024-11-30,13:30,17,2024-11-30 13:30:00,3,16,False
Bohemians 1905,FC Hradec Králové,2024-12-04,20:00,8,2024-12-04 20:00:00,3,8,False
AC Sparta Praha,Bohemians 1905,2024-12-07,19:00,18,2024-12-07 19:00:00,6,3,False
Bohemians 1905,MFK Karviná,2024-12-14,16:00,19,2024-12-14 16:00:00,3,9,False
FK Jablonec,Bohemians 1905,2025-02-02,15:30,20,2025-02-02 15:30:00,7,3,False
Bohemians 1905,SK Dynamo České Budějovice,2025-02-09,15:30,21,2025-02-09 15:30:00,3,10,False
FC Hradec Králové,Bohemians 1905,2025-02-16,13:00,22,2025-02-16 13:00:00,8,3,False
Bohemians 1905,FC Slovan Liberec,2025-02-23,13:00,23,2025-02-23 13:00:00,3,12,False
Bohemians 1905,SK Sigma Olomouc,2025-03-09,15:30,25,2025-03-09 15:30:00,3,14,True
Bohemians 1905,FK Teplice,2025-03-29,16:00,27,2025-03-29 16:00:00,3,11,True
FK Pardubice,Bohemians 1905,2025-04-05,13:30,28,2025-04-05 13:30:00,4,3,True
Bohemians 1905,FC Viktoria Plzeň,2025-04-12,00:00,29,2025-04-12 00:00:00,3,13,True
FC Baník Ostrava,Bohemians 1905,2025-04-19,00:00,30,2025-04-19 00:00:00,5,3,True
AC Sparta Praha,FK Pardubice,2024-07-19,19:00,1,2024-07-19 19:00:00,6,4,False
FK Pardubice,MFK Karviná,2024-07-27,17:00,2,2024-07-27 17:00:00,4,9,False
SK Dynamo České Budějovice,FK Pardubice,2024-08-04,14:30,3,2024-08-04 14:30:00,10,4,False
FK Pardubice,1. FC Slovácko,2024-08-11,14:30,4,2024-08-11 14:30:00,4,16,False
FC Slovan Liberec,FK Pardubice,2024-08-18,17:00,5,2024-08-18 17:00:00,12,4,False
FK Pardubice,FC Hradec Králové,2024-08-24,20:00,6,2024-08-24 20:00:00,4,8,False
FK Pardubice,FK Teplice,2024-09-28,16:00,10,2024-09-28 16:00:00,4,11,False
FC Viktoria Plzeň,FK Pardubice,2024-10-06,13:00,11,2024-10-06 13:00:00,13,4,False
FK Dukla Praha,FK Pardubice,2024-10-19,16:00,12,2024-10-19 16:00:00,15,4,False
FK Pardubice,FC Baník Ostrava,2024-10-26,16:00,13,2024-10-26 16:00:00,4,5,False
FK Pardubice,FK Jablonec,2024-11-09,16:00,15,2024-11-09 16:00:00,4,7,False
MFK Karviná,FK Pardubice,2024-11-24,15:30,16,2024-11-24 15:30:00,9,4,False
FK Pardubice,SK Dynamo České Budějovice,2024-12-01,15:30,17,2024-12-01 15:30:00,4,10,False
FK Pardubice,SK Sigma Olomouc,2024-12-04,17:30,8,2024-12-04 17:30:00,4,14,False
1. FC Slovácko,FK Pardubice,2024-12-07,13:30,18,2024-12-07 13:30:00,16,4,False
FK Pardubice,FC Slovan Liberec,2024-12-14,16:00,19,2024-12-14 16:00:00,4,12,False
FC Hradec Králové,FK Pardubice,2025-02-01,19:00,20,2025-02-01 19:00:00,8,4,False
SK Sigma Olomouc,FK Pardubice,2025-02-15,13:30,22,2025-02-15 13:30:00,14,4,False
FK Teplice,FK Pardubice,2025-03-01,19:00,24,2025-03-01 19:00:00,11,4,False
FK Pardubice,FC Viktoria Plzeň,2025-03-09,18:30,25,2025-03-09 18:30:00,4,13,True
FK Pardubice,FK Dukla Praha,2025-03-15,16:00,26,2025-03-15 16:00:00,4,15,True
FC Baník Ostrava,FK Pardubice,2025-03-29,16:00,27,2025-03-29 16:00:00,5,4,True
