position,tm_id,points
1,62,36
2,941,29
3,377,27
4,197,26
5,1322,25
6,2311,20
7,5546,19
8,1897,19
9,13726,19
10,697,17
11,814,16
12,5544,15
13,715,14
14,450,10
15,1496,9
16,1321,3
