position,tm_id,points
1,941,3
2,62,0
3,377,0
4,197,0
5,1322,0
6,2311,0
7,1897,0
8,715,0
9,697,0
10,13726,0
11,814,0
12,5546,0
13,5544,0
14,450,0
15,5545,0
16,1496,0
